id,date,time,x,y
1,2004/1/1,1:0:0,186.2,200.4
2,2004/1/1,1:0:0,502.2,203.6,
3,2004/1/1,1:0:0,361.8,551,
4,2004/1/1,1:0:0,658.6,256.6,
5,2004/1/1,1:0:0,208.2,161.8,
6,2004/1/1,1:0:0,695.6,983.8,
7,2004/1/1,1:0:0,365.2,170.2,
8,2004/1/1,1:0:0,542.8,121.8,
9,2004/1/1,1:0:0,741.6,210.2,
10,2004/1/1,1:0:0,720.0,206.4,
11,2004/1/1,1:0:0,734.4,878.6,
12,2004/1/1,1:0:0,94.0,1206.6,
13,2004/1/1,1:0:0,473.2,136.2,
14,2004/1/1,1:0:0,718.8,41.8,
15,2004/1/1,1:0:0,670.4,129.4,
16,2004/1/1,1:0:0,535.2,895,
17,2004/1/1,1:0:0,582.8,157.4,
18,2004/1/1,1:0:0,212.6,1158.6,
19,2004/1/1,1:0:0,219.4,1035,
20,2004/1/1,1:0:0,300.8,707.2,
21,2004/1/1,1:0:0,567.2,770.6,
22,2004/1/1,1:0:0,350.8,624.6,
23,2004/1/1,1:0:0,311.0,913.2,
24,2004/1/1,1:0:0,558.8,684.6,
25,2004/1/1,1:0:0,163.4,950.8,
26,2004/1/1,1:0:0,576.8,662.6,
27,2004/1/1,1:0:0,630.8,424,
28,2004/1/1,1:0:0,249.0,1114,
29,2004/1/1,1:0:0,543.2,624.4,
30,2004/1/1,1:0:0,637.4,415.6,
31,2004/1/1,1:0:0,262.0,567.6,
32,2004/1/1,1:0:0,301.4,40.8,
33,2004/1/1,1:0:0,262.0,275.4,
34,2004/1/1,1:0:0,151.0,983.2,
35,2004/1/1,1:0:0,373.2,1104.4,
36,2004/1/1,1:0:0,694.0,567,
37,2004/1/1,1:0:0,674.8,986.8,
38,2004/1/1,1:0:0,356.0,1117.4,
39,2004/1/1,1:0:0,582.0,1009.4,
40,2004/1/1,1:0:0,686.4,257.2,
41,2004/1/1,1:0:0,71.0,1016.2,
42,2004/1/1,1:0:0,770.0,688.4,
43,2004/1/1,1:0:0,159.0,565,
44,2004/1/1,1:0:0,711.4,151,
45,2004/1/1,1:0:0,569.8,688.4,
46,2004/1/1,1:0:0,91.6,891,
47,2004/1/1,1:0:0,555.6,292.6,
48,2004/1/1,1:0:0,580.4,282.6,
49,2004/1/1,1:0:0,678.8,565.8,
50,2004/1/1,1:0:0,364.8,1095.4,
51,2004/1/1,1:0:0,707.8,240.8,
52,2004/1/1,1:0:0,688.8,129.4,
53,2004/1/1,1:0:0,571.6,114,
54,2004/1/1,1:0:0,143.6,175,
55,2004/1/1,1:0:0,201.6,1212,
56,2004/1/1,1:0:0,266.2,982.6,
57,2004/1/1,1:0:0,627.6,1052,
58,2004/1/1,1:0:0,755.2,1094.8,
59,2004/1/1,1:0:0,464.8,1044.4,
60,2004/1/1,1:0:0,569.4,670.4,
61,2004/1/1,1:0:0,133.8,542.6,
62,2004/1/1,1:0:0,160.8,574,
63,2004/1/1,1:0:0,74.2,773.2,
64,2004/1/1,1:0:0,477.4,678,
65,2004/1/1,1:0:0,362.6,582.4,
66,2004/1/1,1:0:0,125.0,157.8,
